season,game_id,game_date,official_date,status,detailed_state,away_team,home_team,away_score,home_score,winner,home_win,away_probable_pitcher,home_probable_pitcher
2023,718780,2023-03-30T17:05:00Z,2023-03-30,Final,Final,Atlanta Braves,Washington Nationals,7,2,Atlanta Braves,0,Max Fried,Patrick Corbin
2023,718781,2023-03-30T17:05:00Z,2023-03-30,Final,Final,San Francisco Giants,New York Yankees,0,5,New York Yankees,1,Logan Webb,Gerrit Cole
2023,718782,2023-03-30T18:10:00Z,2023-03-30,Final,Final,Baltimore Orioles,Boston Red Sox,10,9,Baltimore Orioles,0,Kyle Gibson,Corey Kluber
2023,718777,2023-03-30T18:20:00Z,2023-03-30,Final,Final,Milwaukee Brewers,Chicago Cubs,0,4,Chicago Cubs,1,Corbin Burnes,Marcus Stroman
2023,718776,2023-03-30T19:10:00Z,2023-03-30,Final,Final,Detroit Tigers,Tampa Bay Rays,0,4,Tampa Bay Rays,1,Eduardo Rodriguez,Shane McClanahan
2023,718779,2023-03-30T20:05:00Z,2023-03-30,Final,Final,Philadelphia Phillies,Texas Rangers,7,11,Texas Rangers,1,Aaron Nola,Jacob deGrom
2023,718773,2023-03-30T20:10:00Z,2023-03-30,Final,Final,Pittsburgh Pirates,Cincinnati Reds,5,4,Pittsburgh Pirates,0,Mitch Keller,Hunter Greene
2023,718772,2023-03-30T20:10:00Z,2023-03-30,Final,Final,Toronto Blue Jays,St. Louis Cardinals,10,9,Toronto Blue Jays,0,Alek Manoah,Miles Mikolas
2023,718775,2023-03-30T20:10:00Z,2023-03-30,Final,Final,Minnesota Twins,Kansas City Royals,2,0,Minnesota Twins,0,Pablo López,Zack Greinke
2023,718774,2023-03-30T20:10:00Z,2023-03-30,Final,Final,New York Mets,Miami Marlins,5,3,New York Mets,0,Max Scherzer,Sandy Alcantara
2023,718768,2023-03-30T23:08:00Z,2023-03-30,Final,Final,Chicago White Sox,Houston Astros,3,2,Chicago White Sox,0,Dylan Cease,Framber Valdez
2023,718778,2023-03-31T01:40:00Z,2023-03-30,Final,Final,Colorado Rockies,San Diego Padres,7,2,Colorado Rockies,0,Germán Márquez,Blake Snell
2023,718769,2023-03-31T02:07:00Z,2023-03-30,Final,Final,Los Angeles Angels,Oakland Athletics,1,2,Oakland Athletics,1,Shohei Ohtani,Kyle Muller
