threshold,season,bets,wins,losses,accuracy,paperUnitsEvenMoney,paperRoiEvenMoneyPct
all_eligible,2017,2430,1289,1141,0.5305,148,6.09
all_eligible,2018,2433,1409,1024,0.5791,385,15.82
all_eligible,2019,2433,1457,976,0.5988,481,19.77
all_eligible,2020,900,513,387,0.57,126,14.0
all_eligible,2021,2437,1352,1085,0.5548,267,10.96
all_eligible,2022,2269,1297,972,0.5716,325,14.32
all_eligible,2023,2437,1352,1085,0.5548,267,10.96
all_eligible,2024,2432,1347,1085,0.5539,262,10.77
all_eligible,2025,2272,1226,1046,0.5396,180,7.92
all_eligible,2026,1031,562,469,0.5451,93,9.02
0.5,2017,2430,1289,1141,0.5305,148,6.09
0.5,2018,2433,1409,1024,0.5791,385,15.82
0.5,2019,2433,1457,976,0.5988,481,19.77
0.5,2020,900,513,387,0.57,126,14.0
0.5,2021,2437,1352,1085,0.5548,267,10.96
0.5,2022,2269,1297,972,0.5716,325,14.32
0.5,2023,2437,1352,1085,0.5548,267,10.96
0.5,2024,2432,1347,1085,0.5539,262,10.77
0.5,2025,2272,1226,1046,0.5396,180,7.92
0.5,2026,1031,562,469,0.5451,93,9.02
0.55,2017,1056,584,472,0.553,112,10.61
0.55,2018,1255,762,493,0.6072,269,21.43
0.55,2019,1419,889,530,0.6265,359,25.3
0.55,2020,540,307,233,0.5685,74,13.7
0.55,2021,1329,767,562,0.5771,205,15.43
0.55,2022,1326,787,539,0.5935,248,18.7
0.55,2023,1388,799,589,0.5756,210,15.13
0.55,2024,1239,712,527,0.5747,185,14.93
0.55,2025,1025,600,425,0.5854,175,17.07
0.55,2026,416,230,186,0.5529,44,10.58
0.58,2017,525,308,217,0.5867,91,17.33
0.58,2018,757,452,305,0.5971,147,19.42
0.58,2019,951,615,336,0.6467,279,29.34
0.58,2020,389,225,164,0.5784,61,15.68
0.58,2021,905,559,346,0.6177,213,23.54
0.58,2022,904,536,368,0.5929,168,18.58
0.58,2023,893,530,363,0.5935,167,18.7
0.58,2024,740,436,304,0.5892,132,17.84
0.58,2025,638,404,234,0.6332,170,26.65
0.58,2026,239,143,96,0.5983,47,19.67
0.6,2017,90,51,39,0.5667,12,13.33
0.6,2018,164,106,58,0.6463,48,29.27
0.6,2019,374,250,124,0.6684,126,33.69
0.6,2020,170,99,71,0.5824,28,16.47
0.6,2021,319,213,106,0.6677,107,33.54
0.6,2022,324,196,128,0.6049,68,20.99
0.6,2023,261,165,96,0.6322,69,26.44
0.6,2024,205,125,80,0.6098,45,21.95
0.6,2025,207,148,59,0.715,89,43.0
0.6,2026,66,39,27,0.5909,12,18.18
0.63,2017,90,51,39,0.5667,12,13.33
0.63,2018,164,106,58,0.6463,48,29.27
0.63,2019,374,250,124,0.6684,126,33.69
0.63,2020,170,99,71,0.5824,28,16.47
0.63,2021,319,213,106,0.6677,107,33.54
0.63,2022,324,196,128,0.6049,68,20.99
0.63,2023,261,165,96,0.6322,69,26.44
0.63,2024,205,125,80,0.6098,45,21.95
0.63,2025,207,148,59,0.715,89,43.0
0.63,2026,66,39,27,0.5909,12,18.18
