previous_record_weight,recent_form_weight,pythagorean_weight,tested,correct,skipped,accuracy
60,20,20,21074,11804,324,56.01
40,20,40,21074,11799,324,55.99
50,20,30,21074,11791,324,55.95
30,20,50,21074,11782,324,55.91
70,10,20,21074,11783,324,55.91
20,20,60,21074,11778,324,55.89
70,20,10,21074,11776,324,55.88
60,10,30,21074,11774,324,55.87
40,10,50,21074,11769,324,55.85
50,10,40,21074,11767,324,55.84
80,10,10,21074,11754,324,55.77
0,10,90,21074,11749,324,55.75
10,20,70,21074,11749,324,55.75
30,10,60,21074,11749,324,55.75
0,20,80,21074,11741,324,55.71
10,10,80,21074,11738,324,55.7
80,20,0,21074,11738,324,55.7
90,10,0,21074,11734,324,55.68
20,10,70,21074,11724,324,55.63
10,30,60,21074,11701,324,55.52
30,30,40,21074,11696,324,55.5
0,30,70,21074,11695,324,55.49
20,30,50,21074,11685,324,55.45
60,30,10,21074,11683,324,55.44
40,30,30,21074,11675,324,55.4
50,30,20,21074,11676,324,55.4
20,0,80,21074,11668,324,55.37
70,30,0,21074,11669,324,55.37
10,0,90,21074,11660,324,55.33
0,0,100,21074,11658,324,55.32
50,0,50,21074,11657,324,55.31
40,0,60,21074,11647,324,55.27
80,0,20,21074,11647,324,55.27
30,0,70,21074,11644,324,55.25
70,0,30,21074,11642,324,55.24
60,0,40,21074,11640,324,55.23
90,0,10,21074,11623,324,55.15
100,0,0,21074,11611,324,55.1
10,40,50,21074,11609,324,55.09
20,40,40,21074,11610,324,55.09
30,40,30,21074,11607,324,55.08
50,40,10,21074,11607,324,55.08
0,40,60,21074,11602,324,55.05
40,40,20,21074,11602,324,55.05
40,50,10,21074,11595,324,55.02
60,40,0,21074,11586,324,54.98
20,50,30,21074,11578,324,54.94
10,50,40,21074,11572,324,54.91
50,50,0,21074,11566,324,54.88
30,50,20,21074,11559,324,54.85
0,50,50,21074,11555,324,54.83
30,60,10,21074,11488,324,54.51
20,60,20,21074,11478,324,54.47
0,60,40,21074,11476,324,54.46
10,60,30,21074,11476,324,54.46
40,60,0,21074,11474,324,54.45
10,70,20,21074,11426,324,54.22
20,70,10,21074,11422,324,54.2
0,70,30,21074,11411,324,54.15
30,70,0,21074,11410,324,54.14
10,80,10,21074,11386,324,54.03
10,90,0,21074,11381,324,54.0
20,80,0,21074,11381,324,54.0
0,80,20,21074,11372,324,53.96
0,90,10,21074,11372,324,53.96
0,100,0,21074,11361,324,53.91
