game_id,game_date,season,home_team,away_team,home_score,away_score,winner,target_home_win,home_games_played_before,away_games_played_before,home_wins_before,away_wins_before,home_losses_before,away_losses_before,home_win_pct_before,away_win_pct_before,home_last_10_win_pct,away_last_10_win_pct,home_last_30_win_pct,away_last_30_win_pct,home_runs_scored_last_10,away_runs_scored_last_10,home_runs_allowed_last_10,away_runs_allowed_last_10,home_run_diff_last_10,away_run_diff_last_10,home_runs_scored_last_30,away_runs_scored_last_30,home_runs_allowed_last_30,away_runs_allowed_last_30,home_run_diff_last_30,away_run_diff_last_30,home_rest_days,away_rest_days,home_back_to_back,away_back_to_back,win_pct_diff,last_10_win_pct_diff,last_30_win_pct_diff,run_diff_last_10_diff,run_diff_last_30_diff,rest_days_diff,home_starting_pitcher_id,away_starting_pitcher_id,home_starting_pitcher_name,away_starting_pitcher_name,home_pitcher_games_started_before,away_pitcher_games_started_before,home_pitcher_rest_days,away_pitcher_rest_days,home_pitcher_runs_allowed_last_3,away_pitcher_runs_allowed_last_3,home_pitcher_runs_allowed_last_10,away_pitcher_runs_allowed_last_10,home_pitcher_avg_runs_allowed_last_3,away_pitcher_avg_runs_allowed_last_3,home_pitcher_avg_runs_allowed_last_10,away_pitcher_avg_runs_allowed_last_10,home_pitcher_team_win_rate_started_before,away_pitcher_team_win_rate_started_before,home_pitcher_status,away_pitcher_status,pitcher_data_quality,pitcher_warnings,home_bullpen_usage_last_1,away_bullpen_usage_last_1,home_bullpen_usage_last_3,away_bullpen_usage_last_3,home_bullpen_usage_last_5,away_bullpen_usage_last_5,home_bullpen_runs_allowed_last_3,away_bullpen_runs_allowed_last_3,home_bullpen_runs_allowed_last_5,away_bullpen_runs_allowed_last_5,home_bullpen_avg_runs_allowed_last_3,away_bullpen_avg_runs_allowed_last_3,home_bullpen_fatigue_score,away_bullpen_fatigue_score,home_bullpen_risk,away_bullpen_risk,bullpen_data_quality,bullpen_warnings
,,,,,2,7,Atlanta Braves,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,571578,608331,Patrick Corbin,Max Fried,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,5,0,New York Yankees,1,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,543037,657277,Gerrit Cole,Logan Webb,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,9,10,Baltimore Orioles,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,446372,502043,Corey Kluber,Kyle Gibson,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,4,0,Chicago Cubs,1,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,573186,669203,Marcus Stroman,Corbin Burnes,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,4,0,Tampa Bay Rays,1,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,663556,593958,Shane McClanahan,Eduardo Rodriguez,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,11,7,Texas Rangers,1,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,594798,605400,Jacob deGrom,Aaron Nola,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,9,10,Toronto Blue Jays,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,571945,666201,Miles Mikolas,Alek Manoah,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,4,5,Pittsburgh Pirates,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,668881,656605,Hunter Greene,Mitch Keller,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,3,5,New York Mets,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,645261,453286,Sandy Alcantara,Max Scherzer,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
,,,,,0,2,Minnesota Twins,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,425844,641154,Zack Greinke,Pablo López,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.,,,,,,,,,,,,,,,,,,
