game_id,game_date,season,home_team,away_team,home_starting_pitcher_id,away_starting_pitcher_id,home_starting_pitcher_name,away_starting_pitcher_name,home_pitcher_games_started_before,away_pitcher_games_started_before,home_pitcher_rest_days,away_pitcher_rest_days,home_pitcher_runs_allowed_last_3,away_pitcher_runs_allowed_last_3,home_pitcher_runs_allowed_last_10,away_pitcher_runs_allowed_last_10,home_pitcher_avg_runs_allowed_last_3,away_pitcher_avg_runs_allowed_last_3,home_pitcher_avg_runs_allowed_last_10,away_pitcher_avg_runs_allowed_last_10,home_pitcher_team_win_rate_started_before,away_pitcher_team_win_rate_started_before,home_pitcher_status,away_pitcher_status,pitcher_data_quality,pitcher_warnings
718780,2023-03-30T17:05:00Z,2023,Washington Nationals,Atlanta Braves,571578,608331,Patrick Corbin,Max Fried,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718781,2023-03-30T17:05:00Z,2023,New York Yankees,San Francisco Giants,543037,657277,Gerrit Cole,Logan Webb,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718782,2023-03-30T18:10:00Z,2023,Boston Red Sox,Baltimore Orioles,446372,502043,Corey Kluber,Kyle Gibson,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718777,2023-03-30T18:20:00Z,2023,Chicago Cubs,Milwaukee Brewers,573186,669203,Marcus Stroman,Corbin Burnes,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718776,2023-03-30T19:10:00Z,2023,Tampa Bay Rays,Detroit Tigers,663556,593958,Shane McClanahan,Eduardo Rodriguez,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718779,2023-03-30T20:05:00Z,2023,Texas Rangers,Philadelphia Phillies,594798,605400,Jacob deGrom,Aaron Nola,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718772,2023-03-30T20:10:00Z,2023,St. Louis Cardinals,Toronto Blue Jays,571945,666201,Miles Mikolas,Alek Manoah,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718773,2023-03-30T20:10:00Z,2023,Cincinnati Reds,Pittsburgh Pirates,668881,656605,Hunter Greene,Mitch Keller,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718774,2023-03-30T20:10:00Z,2023,Miami Marlins,New York Mets,645261,453286,Sandy Alcantara,Max Scherzer,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
718775,2023-03-30T20:10:00Z,2023,Kansas City Royals,Minnesota Twins,425844,641154,Zack Greinke,Pablo López,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
