game_id,game_date,season,home_team,away_team,home_score,away_score,winner,target_home_win,home_games_played_before,away_games_played_before,home_wins_before,away_wins_before,home_losses_before,away_losses_before,home_win_pct_before,away_win_pct_before,home_last_10_win_pct,away_last_10_win_pct,home_last_30_win_pct,away_last_30_win_pct,home_runs_scored_last_10,away_runs_scored_last_10,home_runs_allowed_last_10,away_runs_allowed_last_10,home_run_diff_last_10,away_run_diff_last_10,home_runs_scored_last_30,away_runs_scored_last_30,home_runs_allowed_last_30,away_runs_allowed_last_30,home_run_diff_last_30,away_run_diff_last_30,home_rest_days,away_rest_days,home_back_to_back,away_back_to_back,win_pct_diff,last_10_win_pct_diff,last_30_win_pct_diff,run_diff_last_10_diff,run_diff_last_30_diff,rest_days_diff,data_quality,data_quality_score,missing_data_warnings,feature_policy
824348,2026-06-11T00:40:00Z,2026,Colorado Rockies,Chicago Cubs,,,,,65,65,24,34,41,31,0.3692,0.5231,0.4,0.5,0.3333,0.3667,58,47,84,51,-26,-4,130,112,199,151,-69,-39,4,5,0,0,-0.1538,-0.1,-0.0333,-22,-30,-1,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
824996,2026-06-11T01:05:00Z,2026,Athletics,Milwaukee Brewers,,,,,64,62,30,39,34,23,0.4688,0.629,0.3,0.7,0.4,0.7,34,60,68,40,-34,20,119,147,157,96,-38,51,5,4,0,0,-0.1603,-0.4,-0.3,-54,-89,1,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
824022,2026-06-11T01:38:00Z,2026,Los Angeles Angels,Houston Astros,,,,,65,66,24,30,41,36,0.3692,0.4545,0.3,0.6,0.3667,0.5333,51,58,52,40,-1,18,120,126,164,122,-44,4,4,5,0,0,-0.0853,-0.3,-0.1667,-19,-48,-1,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
823619,2026-06-11T17:10:00Z,2026,New York Mets,St. Louis Cardinals,,,,,64,62,28,34,36,28,0.4375,0.5484,0.6,0.5,0.5333,0.5,50,39,33,40,17,-1,140,111,118,117,22,-6,4,5,0,0,-0.1109,0.1,0.0333,18,28,-1,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
823855,2026-06-11T17:10:00Z,2026,Miami Marlins,Arizona Diamondbacks,,,,,65,64,30,33,35,31,0.4615,0.5156,0.4,0.3,0.4667,0.5333,33,26,51,53,-18,-27,126,119,147,111,-21,8,5,5,0,0,-0.0541,0.1,-0.0667,9,-29,0,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
824265,2026-06-11T17:10:00Z,2026,Detroit Tigers,Minnesota Twins,,,,,65,66,26,30,39,36,0.4,0.4545,0.5,0.3,0.2667,0.4667,42,47,38,63,4,-16,97,127,140,155,-43,-28,5,5,0,0,-0.0545,0.2,-0.2,20,-15,0,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
824101,2026-06-11T18:10:00Z,2026,Kansas City Royals,Texas Rangers,,,,,65,64,26,31,39,33,0.4,0.4844,0.4,0.6,0.3333,0.5,41,41,50,37,-9,4,106,125,142,120,-36,5,5,5,0,0,-0.0844,-0.2,-0.1667,-13,-41,0,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
824346,2026-06-11T19:10:00Z,2026,Colorado Rockies,Chicago Cubs,,,,,65,65,24,34,41,31,0.3692,0.5231,0.4,0.5,0.3333,0.3667,58,47,84,51,-26,-4,130,112,199,151,-69,-39,4,5,0,0,-0.1538,-0.1,-0.0333,-22,-30,-1,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
823371,2026-06-11T22:40:00Z,2026,Pittsburgh Pirates,Los Angeles Dodgers,,,,,65,65,34,42,31,23,0.5231,0.6462,0.5,0.7,0.5,0.6667,61,46,64,22,-3,24,151,157,151,84,0,73,5,4,0,0,-0.1231,-0.2,-0.1667,-27,-73,1,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
824827,2026-06-11T23:05:00Z,2026,Baltimore Orioles,Seattle Mariners,,,,,65,65,31,34,34,31,0.4769,0.5231,0.6,0.8,0.5333,0.6,62,47,41,30,21,17,150,131,138,103,12,28,5,5,0,0,-0.0462,-0.2,-0.0667,4,-16,0,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
824589,2026-06-11T23:40:00Z,2026,Chicago White Sox,Atlanta Braves,,,,,64,65,34,44,30,21,0.5312,0.6769,0.7,0.7,0.6,0.6333,64,52,35,40,29,12,161,136,134,102,27,34,5,5,0,0,-0.1457,0.0,-0.0333,17,-7,0,B,72,Lineup data unavailable for today feature export. | Pitcher data unavailable for today feature export. | Bullpen data unavailable for today feature export. | Weather impact not connected in Python today feature export.,research_only_no_current_game_results
