game_id,game_date,season,home_team,away_team,venue_name,venue_id,ballpark_id,ballpark_factor_available,ballpark_run_factor,ballpark_hr_factor,roof_type,indoor_or_dome,weather_available,temperature,wind_speed,wind_direction,precipitation_risk,humidity,weather_risk,run_environment_score,weather_ballpark_data_quality,weather_ballpark_warnings
718780,2023-03-30T17:05:00Z,2023,Washington Nationals,Atlanta Braves,Nationals Park,3309,3309,False,,,,,False,,,,,,,,low,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | No static ballpark factor mapping for this venue; ballpark factors remain null.
718781,2023-03-30T17:05:00Z,2023,New York Yankees,San Francisco Giants,Yankee Stadium,3313,3313,False,,,,,False,,,,,,,,low,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | No static ballpark factor mapping for this venue; ballpark factors remain null.
718782,2023-03-30T18:10:00Z,2023,Boston Red Sox,Baltimore Orioles,Fenway Park,3,3,False,,,,,False,,,,,,,,low,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | No static ballpark factor mapping for this venue; ballpark factors remain null.
718777,2023-03-30T18:20:00Z,2023,Chicago Cubs,Milwaukee Brewers,Wrigley Field,17,17,False,,,,,False,,,,,,,,low,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | No static ballpark factor mapping for this venue; ballpark factors remain null.
718776,2023-03-30T19:10:00Z,2023,Tampa Bay Rays,Detroit Tigers,Tropicana Field,12,12,False,,,dome,True,False,,,,,,,,medium,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | Static roof context applied from a small documented venue map.
718779,2023-03-30T20:05:00Z,2023,Texas Rangers,Philadelphia Phillies,Globe Life Field,5325,5325,False,,,retractable,True,False,,,,,,,,medium,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | Static roof context applied from a small documented venue map.
718772,2023-03-30T20:10:00Z,2023,St. Louis Cardinals,Toronto Blue Jays,Busch Stadium,2889,2889,False,,,,,False,,,,,,,,low,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | No static ballpark factor mapping for this venue; ballpark factors remain null.
718773,2023-03-30T20:10:00Z,2023,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,2602,2602,False,,,,,False,,,,,,,,low,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | No static ballpark factor mapping for this venue; ballpark factors remain null.
718774,2023-03-30T20:10:00Z,2023,Miami Marlins,New York Mets,loanDepot park,4169,4169,False,,,retractable,True,False,,,,,,,,medium,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | Static roof context applied from a small documented venue map.
718775,2023-03-30T20:10:00Z,2023,Kansas City Royals,Minnesota Twins,Kauffman Stadium,7,7,False,,,,,False,,,,,,,,low,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | No static ballpark factor mapping for this venue; ballpark factors remain null.
718768,2023-03-30T23:08:00Z,2023,Houston Astros,Chicago White Sox,Minute Maid Park,2392,2392,False,,,retractable,True,False,,,,,,,,medium,Historical weather unavailable from saved MLB schedule snapshots; weather fields are null. | Static roof context applied from a small documented venue map.
